VAR_ID,VAR_LABEL,VAR_DESCRIPTION
B01001G_029,MIXED_65to74F,females with two or more races reported aged 65 to 74
B01001G_030,MIXED_75to84F,females with two or more races reported aged 75 to 84
B01001G_031,MIXED_85overF,females with two or more races reported aged 85 and over
B01001I_001,HISPLAT_POP,total hispanic or latino population
B01001I_014,HISPLAT_65to74M,hispanic or latino males aged 65 to 74
B01001I_015,HISPLAT_75to84M,hispanic or latino males aged 75 to 84
B01001I_016,HISPLAT_85overM,hispanic or latino males aged 85 and over
B01001I_029,HISPLAT_65to74F,hispanic or latino females aged 65 to 74
B01001I_030,HISPLAT_75to84F,hispanic or latino females aged 75 to 84
B01001I_031,HISPLAT_85overF,hispanic or latino females aged 85 and over
B15001_038,HIGHSCH_65overM,males over 65 with high school education
B15001_039,SOMECOLL_65overM,males over 65 with some college education
B15001_040,ASSOCIATES_65overM,males over 65 with associates degree
B15001_041,BACHELORS_65overM,males over 65 with bachelors degree
B15001_042,GRADUATES_65overM,males over 65 with graduate degree
B15001_079,HIGHSCH_65overF,females over 65 with high school education
B15001_080,SOMECOLL_65overF,females over 65 with some college education
B15001_081,ASSOCIATES_65overF,females over 65 with associates degree
B15001_082,BACHELORS_65overF,females over 65 with bachelors degree
B15001_083,GRADUATES_65overF,females over 65 with graduate degree
B15002_011,HIGHSCH_M,males over 25 with high school education
B15002_012,SOMECOL1_M,males over 25 with less than 1 year of college education but no degree
B15002_013,SOMECOL2_M,males over 25 with more than 1 year of college but no degree
B15002_014,ASSOCIATES_M,males over 25 with associates degree
B15002_015,BACHELORS_M,males over 25 with bachelors degree
B15002_016,MASTERS_M,males over 25 with masters degree
B15002_017,PROFESS_M,males over 25 with professional degree
B15002_018,PHD_M,males over 25 with doctorate degree
B15002_028,HIGHSCH_F,females over 25 with high school education
B15002_029,SOMECOL1_F,females over 25 with less than 1 year of college education but no degree
B15002_030,SOMECOL2_F,females over 25 with more than 1 year of college but no degree
B15002_031,ASSOCIATES_F,females over 25 with associates degree
B15002_032,BACHELORS_F,females over 25 with bachelors degree
B15002_033,MASTERS_F,females over 25 with masters degree
B15002_034,PROFESS_F,females over 25 with professional degree
B15002_035,PHD_F,females over 25 with doctorate degree
B17001_002,POVERTY_POP,total population with income below poverty line
B17001_015,POVERTY_65to74M,males 65 to 74 with income below poverty line
B17001_016,POVERTY_75overM,males 75 and over with income below poverty line
B17001_029,POVERTY_65to74F,females 65 to 74 with income below poverty line
B17001_030,POVERTY_75overF,females 75 and over with income below poverty line
